id,DAn,Vi2,Smn,FPn,PMm,Def,CiO,Lan,VMm,Vi1,Aud,OrA
fake_ID_51,-3.78194363593962,-4.88752449694007,-4.26239583550281,-5.17267221311415,-5.04965303240147,-6.40753978171261,-7.4216476460229,-8.76213988049194,-9.0239965772692,-8.89833788445382,-9.18118981410344,-9.21131344932925
fake_ID_09,-3.07466124728371,-4.79094324327327,-4.07080987754711,-4.91638960239566,-4.80684882793524,-6.02505538157188,-7.00608782583896,-8.37158313744012,-8.60663133472495,-8.48124220764894,-8.80612146269186,-8.81385529180058
fake_ID_10,-3.18573966608909,-4.87627093571918,-4.21478005716461,-5.07319162544857,-5.02594817816044,-6.48051002477243,-7.46823203173283,-8.87619619285607,-9.13069112239259,-9.05885385973601,-9.38229383335082,-9.39918441855747
fake_ID_14,-3.802075137826,-4.91892860837159,-4.62737934871216,-5.51190432711103,-5.40668689400702,-6.95732244362242,-7.97204061761541,-9.49211328656828,-9.75763115574838,-9.64415025460114,-9.99851070773109,-10.0169843730491
fake_ID_16,-3.27367658445036,-4.81926583992129,-3.96009905027421,-4.88416706923339,-4.76445865700708,-6.18670982069747,-7.10803171641169,-8.43753127651514,-8.67457538006505,-8.56562410462476,-8.83877129248165,-8.86148277204086
fake_ID_21,-4.03860074256997,-5.59910975604806,-4.9971880777227,-5.94770744563955,-5.82748817570732,-7.35645925694425,-8.28397860203356,-9.71185085271693,-9.95219343503473,-9.84439879272765,-10.1234835888995,-10.1374465691203
fake_ID_25,-3.87709940464826,-5.37313199070752,-4.64951991263835,-5.6334081035369,-5.52946614252316,-6.89651268200873,-7.89443635053527,-9.26947662407911,-9.53795011171454,-9.43297466542248,-9.7037983795391,-9.73541699263457
fake_ID_30,-3.57723978800664,-4.53165053260975,-4.11785446344925,-5.01725106889633,-4.92963549572652,-6.33751583738132,-7.29995788739744,-8.58128984698494,-8.81022020211954,-8.70241875137408,-8.91812116965021,-8.96396189786125
fake_ID_31,-3.46644970853256,-5.26711985453242,-4.48117234482094,-5.1366866350103,-5.07775727404822,-6.36611874833393,-7.22494824456649,-8.5013679898375,-8.738332015546,-8.64043294633355,-8.87066713023662,-8.88840411611299
fake_ID_33,-4.31916324687297,-5.25770786221334,-4.76173915356803,-5.60081139359637,-5.53287805575757,-6.80572388135267,-7.85882448892815,-9.21399357878934,-9.46770467270114,-9.35228723153348,-9.67034464115347,-9.69784177541152
fake_ID_38,-3.88276302630104,-5.4640763948669,-5.19962305204844,-6.05621417982257,-5.94990906778592,-7.28780327576831,-8.33524611702041,-9.79797848227459,-10.0615746400712,-9.9473718619602,-10.2995697326653,-10.3038765059719
fake_ID_40,-4.02003710558377,-5.25890797466687,-4.82960611645387,-5.60295171494807,-5.51382315006142,-6.76053580250097,-7.72152015136192,-9.11850275121787,-9.37168469585475,-9.27865649786619,-9.58751975018283,-9.60546377121453
fake_ID_42,-3.33710884097861,-5.23335182486403,-4.49817045480854,-5.12547378313388,-5.0671696255172,-6.13844313432156,-7.11173361160116,-8.48946541537842,-8.72569688324906,-8.64542929206154,-9.00411654840327,-9.03495284828062
fake_ID_44,-3.54853747801543,-5.08745367792823,-4.51120338589192,-5.20635955167283,-5.11312076439786,-6.39938206615245,-7.5291794069168,-8.93241319657389,-9.18791169091328,-9.07833943465036,-9.41704519919374,-9.43248237323098
fake_ID_01,-3.1069560866016,-4.45417684183761,-3.93443694946644,-4.674537196769,-4.61001064440578,-5.90169544430263,-6.86947043225969,-8.16293953911814,-8.40632829541439,-8.32274823884734,-8.57318929033906,-8.61219334176134
fake_ID_03,-2.74999392048534,-4.27749170020715,-3.37908796682825,-4.20431304914747,-4.09383011758611,-5.30571274154844,-6.24143549623694,-7.42412944487796,-7.63541802425372,-7.52236877040268,-7.7852302005675,-7.84405118671354
fake_ID_07,-2.76175129117979,-4.09754477803668,-3.67624545789072,-4.24943452446151,-4.16249596178973,-5.38559290811384,-6.4399118803506,-7.73263210329779,-7.98768987081591,-7.88941579887433,-8.19024988629739,-8.21823475224313
fake_ID_13,-3.21836206428815,-4.79893928277235,-4.62476509332112,-5.4083017791279,-5.33337892919077,-6.83376252191814,-7.89647879539903,-9.27761402361349,-9.52552359005837,-9.40649438774622,-9.71311802487568,-9.72021532499362
fake_ID_17,-3.22748325450674,-4.8570961097628,-4.44901541591673,-5.38169235714054,-5.28804564565699,-6.70810820842512,-7.74419846142213,-9.13658029234772,-9.38014473665678,-9.25200181835545,-9.59945465532283,-9.62254202195034
fake_ID_28,-3.42303043284887,-4.25392274144065,-3.80416932245374,-4.70541396250858,-4.59071046184231,-6.05206220377806,-6.97329543183975,-8.32963191968951,-8.57973129864017,-8.47400542180783,-8.76265599370851,-8.79926546264728
fake_ID_32,-3.61464148524423,-4.87481450730475,-4.46418587007779,-5.64083509665253,-5.51222219272023,-7.13835114837032,-8.14895788484072,-9.51330444960207,-9.78341600894143,-9.65716233047551,-9.93184638776812,-9.95247225941834
fake_ID_45,-3.4300912347572,-5.04526908946891,-4.63732990076168,-5.55738778888533,-5.4630782238782,-6.84822874023387,-7.8344222164527,-9.2485873294133,-9.49539355471114,-9.39122511547341,-9.72394313733904,-9.73512296288413
fake_ID_49,-2.88006760903361,-4.21168883921427,-3.62629287238337,-4.47986297903432,-4.31904901360931,-5.76339856677806,-6.66942145853229,-7.87440730463312,-8.10987582377162,-7.99365376947629,-8.23970256053066,-8.28294124476924
fake_ID_06,-3.27443867173979,-4.73384703000206,-4.22794328800295,-4.9380228865112,-4.8565792506475,-6.0446832684173,-7.00368799362692,-8.30666086632818,-8.55867913325208,-8.44927755757023,-8.70898799290532,-8.72974281818556
fake_ID_08,-2.90142342025217,-4.81214898269337,-4.29376190496696,-5.18644929637597,-5.20479123776295,-6.48419143230834,-7.38933859844463,-8.76655719661841,-9.02667245360118,-8.9229727490902,-9.23809261262245,-9.26817144404197
fake_ID_11,-4.00215305505655,-5.49436660395937,-5.05351756927061,-6.106228119234,-6.05877296872759,-7.65986503618103,-8.62166972125139,-10.0702747520049,-10.3208063793409,-10.2004130143786,-10.5095448584381,-10.5163453433532
fake_ID_12,-3.25423248661653,-5.30909503174295,-4.56217736396163,-5.33370930705657,-5.25136029906935,-6.5899564127091,-7.61667534652059,-8.98057328581632,-9.21934204376385,-9.09545669289061,-9.40770297598173,-9.43117816323872
fake_ID_18,-3.09064324216238,-4.91636596692006,-4.29416298931643,-4.90702429027576,-4.83282859735556,-5.84636853809117,-6.71216008412887,-7.93982079435559,-8.1414351123658,-8.0449276767544,-8.30077939753134,-8.32793110989454
fake_ID_19,-3.22300528376572,-4.95142775727351,-4.43982414181666,-5.21706319825662,-5.17759162146427,-6.63731076919061,-7.66159727102477,-9.05500408663288,-9.32685060233447,-9.23569828166252,-9.49725132408875,-9.53767188868979
fake_ID_20,-3.76992847324186,-5.32105940347895,-4.80676883417268,-5.71327360483544,-5.60303265958718,-7.07140287666479,-8.04624713558233,-9.45851840956029,-9.71561230165999,-9.59818475985982,-9.88033967409468,-9.89878264253468
fake_ID_24,-3.01988833921166,-4.50334638255914,-3.85943033592602,-4.67116647836525,-4.60732448437714,-5.91745827641343,-6.77526596733558,-7.99098508003771,-8.20537799220251,-8.0955530828876,-8.35558500992593,-8.38053531076207
fake_ID_26,-3.91537564902674,-5.42271721381877,-4.62047278207024,-5.60311674660145,-5.4910795372143,-6.94356157905804,-7.8527526477646,-9.39527627810862,-9.63861043949086,-9.52997659641098,-9.91053668910681,-9.92670088470303
fake_ID_27,-3.74001430640125,-4.90699905454039,-4.3339889096449,-5.10140906055593,-5.01264951700831,-6.36797044864161,-7.34624700873707,-8.62430285229799,-8.86505634308819,-8.75315652056826,-8.99670534305402,-9.01003057986697
fake_ID_29,-3.19910115283002,-5.60169676188432,-4.9548434266764,-5.80981286906565,-5.77691645344997,-7.13824461157241,-8.11560516326235,-9.42184061561861,-9.66945600216108,-9.5562706424775,-9.84309111292222,-9.86681493504947
fake_ID_34,-4.2401362583912,-5.29463076391444,-4.76471368551235,-5.57669032055233,-5.43860874443754,-6.89272264954995,-8.00084672568862,-9.52641049069008,-9.81584495788311,-9.71236205494621,-10.1309094027268,-10.1580439176838
fake_ID_35,-3.86593853012118,-5.08660693879582,-4.53097888337227,-5.26714259510149,-5.12413434845659,-6.53572637599334,-7.42705896066669,-8.79145364719795,-9.06289689062171,-8.96882678121186,-9.30310066232845,-9.32224968030448
fake_ID_36,-3.3504862891585,-4.43546249378668,-4.15056197237783,-4.8298772072087,-4.71516965599069,-5.96579538055934,-6.92498360526598,-8.23051902023001,-8.50182153704465,-8.40268004316924,-8.68546112091203,-8.71639743991843
fake_ID_39,-3.36597158061566,-4.83638740701777,-4.39068387275447,-5.08241603281839,-4.99361190767541,-6.33551958344317,-7.38563725021313,-8.72204697295982,-8.94591623647321,-8.83595515034082,-9.1772084685733,-9.19458400320268
fake_ID_41,-3.56511965692034,-4.92445388574496,-4.53897478020059,-5.32021436339098,-5.24356229572888,-6.54863615395109,-7.58364563617847,-8.94683873242813,-9.20644173970684,-9.09433107118909,-9.45817642080955,-9.48530159472765
fake_ID_43,-3.20817057717674,-4.6792998982685,-4.0897991999099,-4.81604479435534,-4.72288710127151,-6.15774207425715,-7.15651036587033,-8.4221292233897,-8.67757718858629,-8.57850175121558,-8.90151982098653,-8.92124676190379
